usuario|comentario
July3p|Bueno chicos me atraparon, todo este tiempo fui pedofilo y escribo esto desde la carcel, hasta la proximaaaa
Guille Benitez|Por mas que sea falso todos sabemos que July es pedofilo
Ricardo Iorio Jr|Se le fundió el motor después de ese pique corto al gordo, quedó liquidado.
Mariano Alb|Que nivel de actuación y que excelente le sale a July hacer de retrasado mental, COMO SI FUERA REAL!!!
m Dog|El gordo corriendo me hace acordar a Ortigoza ganandole un pique a Cristiano Ronaldo
Ronie Rush|COMO CORRE EL GORDO ESCUPI TODO
valentin kämpfer villamor|\"acá tenemos a un tipazo pedofilo\" jajajajjajajajaja
MattiCabra|Es un grande el quechuga, atrapa pedófilos y le da una mano a chicos con problemas.
patricio|Para mi le pagaron a july con una muzza grande,  sino no me explico de donde saco la motivación para correr tanto
Abemus Lag|Ver a july corriendo es el recuerdo mas hermoso que me voy a llevar a mi tumba.
La Dormu|Sale un carburador nuevo para July, después de ese pique ni frenos le deben haber quedado.
Joaquin Cardoso|la velocidad supersónica de nuestro humilde y tipazo pedrasta3p no pudo con el poder de la justicia y recuerden el sida mata ya se llevó a nuestro amigo Nico
Ismael Puerta|cuando july corria parecia un duende jajaj
ScoobySnacks|Por favor lleven a july a cazar algún pedofilo real
Tomas Acudila|0:39 alguien que haga un gif de \"me voy a poringaaa\" con eso
alex navarro|\"No no yo soy un tipazo,mis idolos son Gokú y Messi\" JAJAJAJAJAJAJ
Kopper Design|0:39, es fake. july nunca correría tan rapido
M4Ti4S chAvA|q july corra 10 mts y no se canse es un avance
|le debia un video a july3p, el me ayudo mucho en su momento y tengo que ayudarlo yo ahora :) mañana un video de un pedofilo REAL y va preso. este no se va corriendo
PARIS|Gonzalo Sorette -1 sub\
ElQueChuga +1 sub
lonchito|Pensé que era posta y que te habías hecho amigo para ganarte su confianza y escracharlo.
It's Greca.|Cuando July salió corriendo pensé esa vez que Homero perseguía con una toalla al gordito. :v
Gabriel|que manera de malgastar mi vida viendo estas cosas...
Mano 23|WACHO quien ve esto en 2019?
Tanguito|jajajajaj este vídeo es una obra de arte!
El Espíritu del Vino|Es verdad que para el pique de July tuvieron que contratar a un doble de riesgo?
Vicky|00:51 hay vemos como july3p adelgazo :,v
Tablet Cook|Que onda el pixel gigante?
Marcos Peñalver|mi ídolo es messi goku boludo wtf AJJAJAJA MOrí en esa parte
Diego Silva :D|jajaja como corre el gordito xd
Añvzep|0:56 Como me tenté ahí JAJAJAJAJA. Que tipazo
nahuel alcaide|Dios, july corriendo.... pobres chinos, se comieron un terremoto tremendo
Sergio Rondan|Corre como un hamster july3p jajajaja
Daniel F|Usuario: Juli, porque sos pedofilo???\
July3p: Porque te de deja un sabor de boca exquisito
Pedriito Amarilla|Ese Tiene Mas canales que Direct tv
Uriel Ramiro|Lo hice correr bastante bajo como 2 kilos jajajajaja
Julián Xeneize|00:23 mini ataque de acv de July3p: \" Agsigsi\"
Rulo DobleT|\"Yo soy un tipazo y no le hago el mal a nadie\"\
-July3p, Pensador3p, filósofo3p y tipazo3p
Dubmanaos|AJAJAJAJAJAJJAAAJAJJAJAJAJAJA lo hiciste correr una banda a July pobre
pitbull|\"Cuídense y abrigasen\" July3p - 2016 - Filosofo, Poeta y Youtuber
